day,segment,segment_volume,unique_wallets,wallet_day_observations
2025-10-26 00:00:00+00:00,Mid,16847375.054055,3001,3001
2025-10-26 00:00:00+00:00,Retail,8014940.063378719,16328,16328
2025-10-26 00:00:00+00:00,Whale,517674223.7108316,2416,2416
2025-10-27 00:00:00+00:00,Mid,32065396.5091483,4431,4431
2025-10-27 00:00:00+00:00,Retail,16022131.496911947,19948,19948
2025-10-27 00:00:00+00:00,Whale,724453121.577849,2599,2599
2025-10-28 00:00:00+00:00,Mid,26970432.92043899,3789,3789
2025-10-28 00:00:00+00:00,Retail,11018731.150158396,17721,17721
2025-10-28 00:00:00+00:00,Whale,714212176.1880443,2484,2484
2025-10-29 00:00:00+00:00,Mid,23511159.743200168,3446,3446
2025-10-29 00:00:00+00:00,Retail,9487137.185935242,17531,17531
2025-10-29 00:00:00+00:00,Whale,787489928.3132932,2651,2651
2025-10-30 00:00:00+00:00,Mid,29961111.754786886,4096,4096
2025-10-30 00:00:00+00:00,Retail,11063641.650253182,16873,16873
2025-10-30 00:00:00+00:00,Whale,934528537.4337009,2918,2918
2025-10-31 00:00:00+00:00,Mid,18797526.431808397,3078,3078
2025-10-31 00:00:00+00:00,Retail,7538808.414533145,15393,15393
2025-10-31 00:00:00+00:00,Whale,716518774.0109934,2423,2423
2025-11-01 00:00:00+00:00,Mid,13848010.561748695,2683,2683
2025-11-01 00:00:00+00:00,Retail,6769976.170410232,14594,14594
2025-11-01 00:00:00+00:00,Whale,267210991.92750704,1993,1993
2025-11-02 00:00:00+00:00,Mid,13805086.020950157,2593,2593
2025-11-02 00:00:00+00:00,Retail,6432546.05882979,13911,13911
2025-11-02 00:00:00+00:00,Whale,328417838.5889306,2016,2016
2025-11-03 00:00:00+00:00,Mid,30297992.97963977,4176,4176
2025-11-03 00:00:00+00:00,Retail,10410877.748508552,15529,15529
2025-11-03 00:00:00+00:00,Whale,1041358648.3673539,3016,3016
2025-11-04 00:00:00+00:00,Mid,55154448.000402,5259,5259
2025-11-04 00:00:00+00:00,Retail,14097187.846181855,16002,16002
2025-11-04 00:00:00+00:00,Whale,1729510454.4397998,3724,3724
2025-11-05 00:00:00+00:00,Mid,28729418.49814995,3928,3928
2025-11-05 00:00:00+00:00,Retail,10113093.674411496,16257,16257
2025-11-05 00:00:00+00:00,Whale,816212294.7355853,2871,2871
2025-11-06 00:00:00+00:00,Mid,24806242.48768315,3303,3303
2025-11-06 00:00:00+00:00,Retail,8778692.225925818,15152,15152
2025-11-06 00:00:00+00:00,Whale,648335577.518824,2516,2516
2025-11-07 00:00:00+00:00,Mid,26443221.774651833,3912,3912
2025-11-07 00:00:00+00:00,Retail,10330460.985440306,14720,14720
2025-11-07 00:00:00+00:00,Whale,958595597.5353445,2914,2914
2025-11-08 00:00:00+00:00,Mid,13977444.780315325,2838,2838
2025-11-08 00:00:00+00:00,Retail,6708083.458407918,15216,15216
2025-11-08 00:00:00+00:00,Whale,452945382.35888964,2342,2342
2025-11-09 00:00:00+00:00,Mid,13752325.416989302,2748,2748
2025-11-09 00:00:00+00:00,Retail,6620723.323160736,14047,14047
2025-11-09 00:00:00+00:00,Whale,488025583.4187844,2454,2454
2025-11-10 00:00:00+00:00,Mid,20739936.31403845,3595,3595
2025-11-10 00:00:00+00:00,Retail,8701627.367909506,15885,15885
2025-11-10 00:00:00+00:00,Whale,652860174.1956133,2692,2692
2025-11-11 00:00:00+00:00,Mid,18917241.31894554,3298,3298
2025-11-11 00:00:00+00:00,Retail,7591416.844286439,14864,14864
2025-11-11 00:00:00+00:00,Whale,713689869.5442636,2615,2615
2025-11-12 00:00:00+00:00,Mid,17326237.972031925,2986,2986
2025-11-12 00:00:00+00:00,Retail,7132959.670666915,14575,14575
2025-11-12 00:00:00+00:00,Whale,626050361.5231478,2481,2481
2025-11-13 00:00:00+00:00,Mid,23628579.865999434,3672,3672
2025-11-13 00:00:00+00:00,Retail,9099499.689490424,15073,15073
2025-11-13 00:00:00+00:00,Whale,959404821.3027629,2855,2855
2025-11-14 00:00:00+00:00,Mid,30801382.863339663,3934,3934
2025-11-14 00:00:00+00:00,Retail,10914056.529842744,15084,15084
2025-11-14 00:00:00+00:00,Whale,1143914770.3842552,3058,3058
2025-11-15 00:00:00+00:00,Mid,14318803.655336432,2692,2692
2025-11-15 00:00:00+00:00,Retail,7177856.655622658,14819,14819
2025-11-15 00:00:00+00:00,Whale,387795128.54480445,2226,2226
2025-11-16 00:00:00+00:00,Mid,29006617.394673385,3434,3434
2025-11-16 00:00:00+00:00,Retail,9140817.711216789,14699,14699
2025-11-16 00:00:00+00:00,Whale,717873193.7481496,2617,2617
2025-11-17 00:00:00+00:00,Mid,37743568.80754857,4354,4354
2025-11-17 00:00:00+00:00,Retail,10890479.141281793,16531,16531
2025-11-17 00:00:00+00:00,Whale,933600748.1794726,3007,3007
2025-11-18 00:00:00+00:00,Mid,40697254.25043381,4491,4491
2025-11-18 00:00:00+00:00,Retail,11666188.030028194,16591,16591
2025-11-18 00:00:00+00:00,Whale,892168844.5070063,3027,3027
2025-11-19 00:00:00+00:00,Mid,42666448.465294756,4684,4684
2025-11-19 00:00:00+00:00,Retail,16752718.8057198,16773,16773
2025-11-19 00:00:00+00:00,Whale,907289674.8520947,3146,3146
